count,status1,status2,time,newtime
0,,,2020-11-07T16:25:20,2020-11-07T10:56:20
0,0,2020-11-09T15:28:15,2020-11-09T09:58:15
0,0,2020-11-09T15:30:41,2020-11-09T10:00:41
0,1,2020-11-09T15:31:55,2020-11-09T10:01:55
0,2,2020-11-09T15:32:13,2020-11-09T10:02:13
0,3,2020-11-09T15:33:18,2020-11-09T10:03:18
1,3,2020-11-09T15:36:21,2020-11-09T10:03:18
2,3,2020-11-09T15:36:47,2020-11-09T10:03:18
3,3,2020-11-09T15:37:58,2020-11-09T10:03:18
4,3,2020-11-09T15:38:40,2020-11-09T10:03:18
5,3,2020-11-09T15:39:14,2020-11-09T10:03:18
6,3,2020-11-09T15:41:20,2020-11-09T10:03:18
7,3,2020-11-09T15:47:11,2020-11-09T10:03:18
7,4,2020-11-09T15:48:11,2020-11-09T10:18:11
0,0,2020-11-09T15:48:49,2020-11-09T10:18:49
1,0,2020-11-09T15:48:58,2020-11-09T10:18:49
2,0,2020-11-09T15:49:04,2020-11-09T10:18:49
3,0,2020-11-09T15:49:12,2020-11-09T10:18:49
3,1,2020-11-09T15:49:13,2020-11-09T10:19:13
4,1,2020-11-09T15:49:18,2020-11-09T10:19:13
4,2,2020-11-09T15:49:19,2020-11-09T10:19:19
4,3,2020-11-09T15:49:22,2020-11-09T10:19:22
4,4,2020-11-09T15:49:25,2020-11-09T10:19:25
5,4,2020-11-09T15:49:28,2020-11-09T10:19:25
6,4,2020-11-09T15:49:31,2020-11-09T10:19:25
0,0,2020-11-09T15:50:02,2020-11-09T10:20:02
0,1,2020-11-09T15:50:18,2020-11-09T10:20:18
1,1,2020-11-09T15:50:22,2020-11-09T10:20:18
1,2,2020-11-09T15:50:33,2020-11-09T10:20:33
1,3,2020-11-09T15:50:41,2020-11-09T10:20:41
2,3,2020-11-09T15:50:44,2020-11-09T10:20:41
2,4,2020-11-09T15:50:45,2020-11-09T10:20:45
0,,,2020-11-11T20:05:20,2020-11-11T14:36:20
0,LOW,,2020-11-11T20:05:46,2020-11-11T14:36:46
0,LOW,,2020-11-11T20:06:12,2020-11-11T14:37:12
0,,,2020-11-11T20:06:50,2020-11-11T14:37:50
0,LOW,,2020-11-11T20:07:16,2020-11-11T14:38:16
0,LOW,,2020-11-11T20:07:42,2020-11-11T14:38:42
0,LOW,,2020-11-11T20:08:08,2020-11-11T14:39:08
0,LOW,,2020-11-11T20:08:34,2020-11-11T14:39:34
0,LOW,,2020-11-11T20:09:00,2020-11-11T14:40:00
0,LOW,,2020-11-11T20:09:26,2020-11-11T14:40:26
0,LOW,,2020-11-11T20:09:52,2020-11-11T14:40:52
0,LOW,,2020-11-11T20:10:18,2020-11-11T14:41:18
0,LOW,,2020-11-11T20:10:53,2020-11-11T14:41:53
0,LOW,,2020-11-11T20:11:19,2020-11-11T14:42:19
1,LOW,,2020-11-11T20:11:45,2020-11-11T14:42:45
0,LOW,,2020-11-11T20:12:11,2020-11-11T14:43:11
2,LOW,,2020-11-11T20:12:37,2020-11-11T14:43:37
1,LOW,,2020-11-11T20:13:03,2020-11-11T14:44:03
3,LOW,,2020-11-11T20:13:29,2020-11-11T14:44:29
0,,,2020-11-11T20:22:06,2020-11-11T14:53:06
0,LOW,,2020-11-11T20:22:32,2020-11-11T14:53:32
0,,,2020-11-11T20:29:10,2020-11-11T15:00:10
0,LOW,,2020-11-11T20:29:36,2020-11-11T15:00:36
0,,,2020-11-11T20:38:34,2020-11-11T15:09:34
0,,,2020-11-11T20:39:32,2020-11-11T15:10:32
0,,,2020-11-11T20:40:42,2020-11-11T15:11:42
0,LOW,,2020-11-11T20:41:08,2020-11-11T15:12:08
0,LOW,,2020-11-11T20:41:34,2020-11-11T15:12:34
0,LOW,,2020-11-11T20:42:00,2020-11-11T15:13:00
1,LOW,,2020-11-11T20:42:00,2020-11-11T15:15:00
2,LOW,,2020-11-11T20:42:00,2020-11-11T15:16:00

